,Project Type,Project Size (sqft),Budget (INR),Number of Workers,Subcontractors Involved,Number of Tasks,Task Completion Percentage,Number of Delays,Weather Conditions,Material Availability,Permits/Regulatory Approvals,Change Orders,Site Location,Project Complexity (1-10),Project Manager Experience (years),Contract Type,Risk Factors,Previous Similar Project Performance (days)
3467,Infrastructure,48370,39774513,28,8,50,52,4,Favorable,No,2,10,Pune,2,13,Fixed price,High,919
3468,Educational,23604,26792566,25,1,15,56,5,Favorable,Yes,3,0,Kolkata,10,8,Fixed price,High,689
3469,Educational,28766,71431709,82,9,21,48,0,Adverse,No,2,4,Pune,6,9,Time and materials,Low,541
3470,Industrial,6341,19213255,11,3,48,68,2,Favorable,No,3,1,Banglore,4,1,Time and materials,Medium,222
3471,Industrial,5609,33620312,23,7,28,28,1,Moderate,Yes,5,0,Banglore,8,8,Time and materials,Medium,573
3472,Residential,16995,12539889,40,1,34,65,5,Adverse,No,3,10,Mumbai,2,10,Fixed price,Low,227
3473,Residential,22377,32106392,64,2,44,53,4,Moderate,Yes,5,1,Hyderabad,5,10,Fixed price,Medium,664
3474,Industrial,39518,57650140,38,7,28,37,0,Moderate,No,4,10,Pune,10,7,Time and materials,High,306
3475,Industrial,28485,70804063,75,6,17,82,4,Moderate,Yes,2,2,Hyderabad,9,10,Time and materials,Low,158
3476,Infrastructure,14519,66167268,96,7,11,10,2,Favorable,No,3,10,Delhi,1,19,Fixed price,Medium,155
3477,Infrastructure,41775,81647598,21,3,50,69,1,Moderate,Yes,4,1,Pune,6,3,Fixed price,Low,572
3478,Commercial,43358,15478836,41,7,5,67,2,Moderate,Yes,3,5,Delhi,5,6,Fixed price,Medium,280
3479,Commercial,34781,10272163,7,9,14,68,5,Moderate,No,2,10,Hyderabad,8,12,Fixed price,Low,771
3480,Residential,37184,43122982,38,7,15,17,4,Favorable,Yes,2,1,Pune,2,2,Fixed price,Low,888
3481,Commercial,3135,73499488,36,3,42,36,3,Favorable,No,4,10,Banglore,5,7,Fixed price,Low,243
3482,Industrial,21980,77030723,42,6,8,46,3,Adverse,No,2,0,Hyderabad,1,9,Time and materials,High,694
3483,Residential,19572,9556620,47,8,43,81,1,Favorable,Yes,4,9,Delhi,1,16,Time and materials,High,993
3484,Industrial,24410,21341541,61,1,21,20,4,Favorable,No,2,9,Chennai,8,14,Fixed price,Low,626
3485,Commercial,17565,65013983,62,5,10,2,1,Moderate,No,1,9,Hyderabad,4,18,Fixed price,Low,979
3486,Educational,31867,66940579,73,10,27,86,0,Moderate,Yes,3,1,Delhi,3,4,Fixed price,High,224
3487,Residential,48293,36626572,92,10,27,39,1,Favorable,No,5,6,Hyderabad,2,19,Fixed price,High,590
3488,Residential,13529,18988076,82,8,35,79,3,Favorable,No,2,2,Banglore,7,17,Fixed price,High,762
3489,Residential,5352,48280436,54,5,35,44,3,Moderate,Yes,1,3,Chennai,4,4,Time and materials,High,934
3490,Commercial,38188,10493358,73,5,10,25,0,Adverse,Yes,1,5,Hyderabad,7,3,Time and materials,Low,205
3491,Industrial,24535,8173425,90,1,25,47,5,Moderate,Yes,4,10,Chennai,9,17,Time and materials,Low,804
3492,Industrial,3016,50900663,56,5,47,18,4,Adverse,Yes,4,4,Mumbai,5,6,Time and materials,Medium,800
3493,Educational,30779,54920934,66,1,28,82,5,Moderate,No,5,8,Mumbai,2,4,Time and materials,Low,419
3494,Commercial,21261,70145126,25,6,23,4,3,Adverse,No,3,1,Banglore,2,14,Time and materials,Low,545
3495,Infrastructure,30422,74582887,55,10,19,98,5,Moderate,No,5,2,Mumbai,9,19,Time and materials,Medium,847
3496,Residential,23301,31454676,41,3,48,8,2,Moderate,No,3,1,Chennai,5,1,Fixed price,Low,165
3497,Infrastructure,25991,22319613,12,9,43,65,5,Moderate,Yes,4,6,Mumbai,7,18,Fixed price,Medium,152
3498,Industrial,49574,44209618,80,4,16,64,5,Favorable,Yes,2,5,Mumbai,8,13,Fixed price,Medium,326
3499,Commercial,34605,33008685,31,7,28,37,3,Favorable,Yes,5,9,Delhi,2,6,Fixed price,High,514
3500,Infrastructure,9052,21525801,82,9,25,40,2,Adverse,Yes,3,5,Chennai,8,16,Time and materials,High,872
3501,Residential,1249,53288573,13,2,32,64,5,Favorable,No,2,9,Chennai,9,2,Time and materials,High,970
3502,Industrial,39576,61966223,95,7,6,21,4,Moderate,Yes,1,5,Hyderabad,7,12,Fixed price,Medium,720
3503,Educational,36694,23662304,82,9,11,88,3,Favorable,No,1,5,Banglore,8,8,Fixed price,Low,914
3504,Residential,31578,31850420,77,6,42,0,3,Moderate,No,5,6,Hyderabad,4,12,Fixed price,Low,253
3505,Industrial,45091,77855743,74,5,14,2,2,Adverse,No,3,4,Pune,9,11,Time and materials,Low,858
3506,Residential,44899,47843109,70,4,27,83,3,Moderate,No,5,2,Pune,8,14,Fixed price,High,496
3507,Commercial,25580,75045280,80,10,32,80,2,Adverse,No,5,4,Banglore,4,16,Time and materials,High,593
3508,Industrial,27986,9251512,85,7,42,85,2,Moderate,No,5,1,Kolkata,1,3,Fixed price,Low,721
3509,Educational,32042,42494174,95,7,8,78,4,Adverse,Yes,4,5,Kolkata,9,2,Fixed price,High,264
3510,Residential,40789,26719858,31,2,25,7,1,Favorable,No,3,0,Kolkata,10,5,Fixed price,Low,533
3511,Commercial,30009,55137647,22,6,16,9,0,Favorable,Yes,5,6,Hyderabad,3,3,Time and materials,High,241
3512,Commercial,29347,71984904,7,3,25,84,0,Adverse,Yes,4,1,Chennai,5,10,Fixed price,Low,846
3513,Infrastructure,36732,31866688,27,8,27,0,2,Moderate,Yes,5,3,Banglore,8,18,Time and materials,Medium,236
3514,Educational,34095,51881806,5,9,48,35,1,Moderate,Yes,2,6,Hyderabad,2,8,Fixed price,High,363
3515,Educational,3615,4258149,82,9,48,30,1,Moderate,No,5,8,Mumbai,5,15,Fixed price,High,553
3516,Industrial,49904,49133261,88,3,18,38,3,Moderate,No,2,9,Kolkata,6,14,Time and materials,Low,722
3517,Industrial,2063,69231296,81,1,19,92,1,Adverse,Yes,5,10,Pune,8,12,Fixed price,High,862
3518,Residential,683,38369406,51,10,14,28,4,Favorable,No,3,7,Mumbai,7,1,Time and materials,Low,195
3519,Infrastructure,34666,71124277,84,5,44,70,3,Moderate,No,1,0,Mumbai,2,9,Time and materials,Medium,827
3520,Industrial,38107,48080655,69,3,42,67,1,Favorable,Yes,3,2,Hyderabad,8,9,Fixed price,Medium,791
3521,Infrastructure,34731,16021988,10,3,18,89,3,Moderate,Yes,1,1,Hyderabad,2,18,Fixed price,High,436
3522,Infrastructure,13132,80516557,81,7,44,42,3,Moderate,No,1,1,Delhi,10,16,Fixed price,Low,183
3523,Industrial,47405,51050478,98,1,37,30,2,Moderate,No,2,4,Chennai,4,3,Fixed price,High,316
3524,Residential,40226,63945275,50,7,38,91,1,Favorable,No,2,5,Hyderabad,10,4,Time and materials,High,435
3525,Industrial,1448,44037061,88,4,44,81,5,Adverse,Yes,3,2,Banglore,1,4,Fixed price,Medium,410
3526,Educational,48002,28094587,40,1,5,43,1,Adverse,No,2,6,Kolkata,3,13,Fixed price,Medium,673
3527,Infrastructure,1787,4465400,81,1,39,50,4,Favorable,No,2,6,Pune,8,14,Fixed price,Medium,927
3528,Infrastructure,20851,72538929,85,7,41,54,2,Adverse,Yes,3,1,Hyderabad,2,4,Fixed price,Low,998
3529,Residential,27567,82042263,96,9,32,10,2,Favorable,No,2,2,Mumbai,3,13,Time and materials,High,837
3530,Educational,49191,24450140,60,5,47,45,2,Favorable,Yes,1,0,Mumbai,1,12,Fixed price,Medium,155
3531,Industrial,33699,45366140,22,5,49,28,3,Moderate,Yes,1,6,Delhi,2,15,Time and materials,Medium,559
3532,Infrastructure,14252,67523405,22,6,19,26,2,Adverse,Yes,1,7,Kolkata,1,16,Fixed price,High,149
3533,Industrial,12066,59835364,99,8,11,82,2,Favorable,Yes,2,7,Pune,9,15,Time and materials,High,496
3534,Infrastructure,39376,69339694,81,1,42,57,3,Adverse,Yes,2,2,Mumbai,5,1,Time and materials,Low,302
3535,Educational,44619,35164859,26,10,26,81,2,Moderate,Yes,1,4,Banglore,4,16,Time and materials,Low,517
3536,Educational,20630,78855063,92,7,6,71,1,Adverse,Yes,5,1,Chennai,3,20,Fixed price,Low,479
3537,Residential,31125,14091740,84,3,42,29,1,Favorable,Yes,3,10,Hyderabad,3,1,Fixed price,Medium,959
3538,Infrastructure,46453,6233964,5,6,44,72,5,Adverse,No,1,6,Hyderabad,9,8,Time and materials,High,313
3539,Commercial,9033,4529642,51,6,26,60,0,Favorable,No,4,6,Hyderabad,4,6,Fixed price,Medium,132
3540,Educational,6907,48902023,59,1,48,77,4,Adverse,Yes,1,4,Banglore,5,3,Fixed price,Low,114
3541,Industrial,23175,57698114,71,9,8,100,0,Moderate,Yes,2,8,Banglore,2,3,Time and materials,High,640
3542,Residential,39908,81128350,62,2,6,83,5,Moderate,Yes,4,6,Kolkata,4,5,Time and materials,Low,560
3543,Educational,6814,62368441,65,8,40,8,2,Favorable,No,3,9,Kolkata,7,11,Time and materials,Low,313
3544,Infrastructure,24215,35598368,49,8,45,81,1,Moderate,Yes,4,3,Delhi,9,14,Time and materials,Low,831
3545,Industrial,10235,55801315,56,5,18,4,1,Favorable,Yes,2,5,Pune,9,14,Fixed price,Low,363
3546,Industrial,20071,69805324,53,8,47,70,4,Adverse,No,3,4,Banglore,10,15,Time and materials,Medium,394
3547,Commercial,49005,58918795,28,3,36,96,3,Adverse,Yes,2,7,Mumbai,7,7,Time and materials,Medium,997
3548,Educational,6512,10793901,17,2,10,80,2,Favorable,No,3,0,Mumbai,2,1,Fixed price,High,313
3549,Infrastructure,7060,45870946,43,5,22,25,1,Adverse,No,3,10,Delhi,8,5,Time and materials,Low,732
3550,Residential,37112,34439688,35,5,27,56,0,Favorable,No,2,10,Pune,9,19,Time and materials,Medium,678
3551,Residential,42117,7508512,87,8,43,70,2,Adverse,No,3,6,Delhi,2,14,Fixed price,Medium,574
3552,Educational,46559,80447584,87,4,50,29,1,Favorable,Yes,2,6,Pune,2,18,Time and materials,Medium,354
3553,Residential,38979,62508047,63,10,19,81,3,Adverse,Yes,1,10,Chennai,7,20,Time and materials,High,396
3554,Infrastructure,35539,15845032,59,6,7,80,2,Favorable,No,1,2,Hyderabad,5,7,Time and materials,Medium,457
3555,Educational,18681,82039192,94,2,47,77,3,Favorable,No,4,7,Kolkata,4,17,Time and materials,Low,210
3556,Educational,48294,59857110,58,3,6,98,1,Moderate,Yes,4,2,Delhi,7,17,Time and materials,High,745
3557,Educational,47913,25543748,80,8,23,1,3,Favorable,Yes,4,8,Mumbai,6,20,Fixed price,Low,603
3558,Educational,15341,35562512,60,10,21,63,4,Favorable,Yes,2,5,Delhi,10,2,Fixed price,Low,847
3559,Infrastructure,5684,12414227,15,8,18,69,0,Adverse,Yes,5,1,Banglore,3,13,Fixed price,Low,748
3560,Residential,21480,75268965,66,3,48,77,1,Moderate,Yes,1,0,Hyderabad,9,11,Time and materials,High,699
3561,Industrial,36735,62352090,22,4,33,36,0,Moderate,No,2,7,Kolkata,4,18,Time and materials,Low,118
3562,Residential,36417,53218687,93,3,44,28,1,Favorable,Yes,1,10,Kolkata,6,14,Time and materials,Low,303
3563,Commercial,12522,22593513,19,1,30,26,5,Adverse,No,5,8,Kolkata,1,20,Time and materials,High,145
3564,Infrastructure,27214,80056073,75,10,28,79,4,Moderate,No,4,0,Kolkata,2,2,Time and materials,Medium,553
3565,Infrastructure,5990,67968285,47,9,37,53,1,Adverse,Yes,1,10,Hyderabad,7,14,Fixed price,Low,357
3566,Residential,5159,29722051,14,1,30,98,1,Adverse,Yes,3,9,Chennai,2,8,Time and materials,High,959
3567,Infrastructure,38740,10325366,99,1,11,1,1,Moderate,No,4,8,Kolkata,6,2,Fixed price,Medium,620
3568,Industrial,14290,64989083,86,10,27,55,4,Favorable,Yes,2,2,Pune,10,18,Time and materials,Low,456
3569,Commercial,21658,41144843,48,7,33,25,5,Favorable,Yes,1,7,Chennai,1,13,Fixed price,Medium,877
3570,Commercial,20207,40445485,87,4,14,98,3,Moderate,Yes,2,0,Delhi,6,8,Fixed price,Low,639
3571,Infrastructure,34849,16764008,76,8,21,16,5,Favorable,Yes,1,2,Banglore,5,14,Time and materials,Low,336
3572,Residential,33580,52922626,39,3,47,13,4,Moderate,No,5,0,Pune,5,2,Time and materials,Medium,996
3573,Industrial,23308,21093454,19,8,46,48,4,Adverse,No,1,3,Pune,1,3,Time and materials,Medium,724
3574,Residential,14772,60855517,8,10,44,33,1,Adverse,Yes,3,7,Kolkata,5,17,Time and materials,High,781
3575,Educational,20117,11172381,11,1,27,15,1,Favorable,No,5,3,Pune,7,2,Time and materials,Low,471
3576,Educational,2284,70824564,68,6,11,8,0,Adverse,Yes,2,4,Chennai,3,15,Time and materials,Low,153
3577,Commercial,27668,71562517,37,7,25,5,3,Moderate,No,4,10,Mumbai,5,14,Time and materials,Low,711
3578,Educational,9937,32696024,68,10,50,29,0,Adverse,Yes,3,6,Chennai,7,7,Fixed price,High,944
3579,Residential,48398,54771949,70,6,49,81,2,Adverse,No,1,9,Mumbai,5,18,Fixed price,High,839
3580,Commercial,18876,42806171,63,4,11,73,4,Favorable,No,4,1,Delhi,5,15,Time and materials,Low,537
3581,Residential,1075,54317192,24,9,49,49,5,Favorable,Yes,4,7,Chennai,1,16,Time and materials,Low,457
3582,Educational,36244,71491220,75,6,44,85,5,Favorable,Yes,1,3,Banglore,10,16,Time and materials,Medium,635
3583,Infrastructure,39377,5118942,42,4,42,48,5,Adverse,No,4,6,Hyderabad,7,7,Fixed price,Medium,973
3584,Infrastructure,23238,64822834,39,7,13,84,4,Adverse,Yes,2,9,Hyderabad,6,10,Time and materials,Medium,988
3585,Industrial,43101,49358772,38,3,6,21,4,Adverse,No,2,10,Kolkata,8,4,Fixed price,Low,146
3586,Infrastructure,45833,64803827,46,3,26,90,4,Moderate,Yes,4,1,Delhi,5,2,Fixed price,Medium,162
3587,Commercial,39555,74742330,48,8,34,84,0,Favorable,No,5,1,Kolkata,8,3,Fixed price,High,220
3588,Industrial,40110,16891164,75,7,30,35,2,Moderate,No,1,0,Chennai,10,19,Fixed price,Medium,951
3589,Infrastructure,29737,45686022,83,3,22,6,5,Favorable,No,4,6,Banglore,5,10,Time and materials,Low,612
3590,Educational,26196,50148185,43,9,43,71,4,Favorable,No,1,5,Delhi,9,13,Time and materials,Low,917
3591,Industrial,16217,50253761,85,9,17,52,0,Adverse,No,4,6,Hyderabad,10,12,Time and materials,High,299
3592,Commercial,40227,58164159,83,9,9,18,1,Moderate,No,2,3,Kolkata,1,3,Fixed price,Medium,939
3593,Industrial,8245,54196095,7,2,6,45,2,Moderate,Yes,4,5,Hyderabad,4,5,Fixed price,Medium,1000
3594,Educational,3963,77452695,5,8,39,38,2,Favorable,No,1,8,Hyderabad,5,19,Time and materials,Low,117
3595,Residential,8293,11526625,14,6,27,66,4,Moderate,Yes,4,0,Mumbai,10,2,Time and materials,Low,368
3596,Industrial,630,63046468,8,7,50,94,0,Adverse,No,4,2,Kolkata,8,7,Fixed price,High,659
3597,Infrastructure,16324,46411027,100,10,16,7,4,Moderate,No,5,9,Hyderabad,6,18,Time and materials,High,763
3598,Residential,19861,25492703,55,6,26,56,1,Moderate,Yes,3,1,Mumbai,4,4,Fixed price,Medium,425
3599,Residential,23544,5714301,40,3,41,11,1,Moderate,Yes,3,6,Mumbai,5,16,Fixed price,Medium,617
3600,Industrial,25923,35872683,79,9,48,15,0,Adverse,No,5,7,Banglore,6,13,Fixed price,Medium,553
3601,Industrial,48363,24081288,50,9,47,80,4,Favorable,No,2,8,Hyderabad,10,5,Time and materials,Medium,360
3602,Commercial,42705,60913534,56,2,28,60,0,Favorable,No,3,8,Hyderabad,1,6,Time and materials,Low,403
3603,Residential,15349,37542145,62,1,8,33,1,Adverse,Yes,4,8,Chennai,2,1,Fixed price,Medium,369
3604,Residential,24777,6064893,83,6,43,46,3,Moderate,Yes,4,4,Mumbai,5,20,Fixed price,Low,174
3605,Infrastructure,3346,52769906,49,1,23,87,4,Moderate,Yes,3,4,Pune,8,20,Fixed price,Low,469
3606,Educational,28680,77064255,39,7,18,36,0,Favorable,No,5,3,Hyderabad,8,8,Time and materials,Low,730
3607,Residential,24896,73585725,92,2,12,60,5,Moderate,Yes,2,1,Banglore,8,2,Time and materials,High,796
3608,Infrastructure,41321,10051217,86,1,30,34,2,Moderate,No,4,0,Hyderabad,8,7,Time and materials,Medium,328
3609,Industrial,4835,12507021,54,4,49,36,4,Favorable,No,3,1,Mumbai,5,16,Time and materials,Medium,881
3610,Industrial,28832,47785590,49,6,9,53,5,Adverse,No,4,5,Pune,3,4,Time and materials,Low,546
3611,Infrastructure,7992,68821857,8,6,13,96,3,Adverse,No,4,4,Banglore,1,11,Time and materials,Low,197
3612,Industrial,39247,33856530,52,4,14,46,2,Favorable,No,2,2,Mumbai,6,8,Time and materials,High,540
3613,Educational,6485,28495062,12,2,45,63,2,Adverse,No,2,9,Pune,3,15,Time and materials,Low,527
3614,Commercial,14227,19975444,57,2,39,60,3,Adverse,Yes,1,4,Pune,9,6,Time and materials,Low,252
3615,Commercial,46689,74333140,69,5,45,87,0,Moderate,No,1,2,Chennai,8,3,Time and materials,High,123
3616,Industrial,30873,56867699,60,5,38,47,2,Adverse,Yes,1,9,Pune,3,3,Time and materials,Low,462
3617,Industrial,44806,17595917,96,1,7,97,0,Adverse,No,1,9,Kolkata,1,3,Time and materials,High,648
3618,Infrastructure,18416,18640140,69,8,24,92,1,Adverse,Yes,5,8,Hyderabad,8,2,Fixed price,High,857
3619,Commercial,6331,32774044,45,7,22,2,2,Adverse,Yes,4,5,Pune,7,17,Fixed price,High,282
3620,Infrastructure,1243,36665084,60,1,46,94,2,Adverse,No,5,1,Kolkata,8,9,Time and materials,High,178
3621,Industrial,33381,69406509,98,6,45,66,1,Adverse,No,1,6,Banglore,7,2,Fixed price,Low,870
3622,Residential,30109,49230952,41,8,8,55,5,Favorable,Yes,3,9,Mumbai,9,5,Fixed price,Medium,543
3623,Infrastructure,3560,25979830,21,9,30,5,2,Favorable,No,4,2,Pune,5,14,Time and materials,Medium,382
3624,Residential,14653,76293185,90,6,15,43,2,Moderate,No,3,2,Delhi,6,5,Fixed price,High,453
3625,Residential,25987,42418561,67,8,43,10,5,Moderate,No,2,8,Kolkata,1,16,Fixed price,High,368
3626,Educational,18253,63452753,80,4,49,36,2,Favorable,No,5,10,Chennai,2,17,Fixed price,Medium,921
3627,Infrastructure,32853,35447474,28,1,36,18,5,Favorable,Yes,1,0,Chennai,2,18,Fixed price,Low,463
3628,Commercial,44733,56343969,73,1,32,16,5,Adverse,No,2,2,Hyderabad,3,11,Fixed price,High,191
3629,Educational,20307,36827183,10,6,35,39,5,Moderate,Yes,5,2,Pune,4,10,Time and materials,Low,405
3630,Industrial,2092,79507194,11,1,23,8,1,Adverse,No,3,4,Delhi,7,4,Time and materials,Medium,136
3631,Infrastructure,15388,5805435,43,5,16,59,4,Adverse,No,3,3,Delhi,6,1,Time and materials,High,391
3632,Industrial,41368,28480786,53,4,49,4,2,Moderate,Yes,1,2,Chennai,6,7,Time and materials,Medium,140
3633,Commercial,11929,78250740,55,5,25,88,1,Moderate,No,3,9,Pune,5,9,Fixed price,High,872
3634,Infrastructure,41770,5728909,53,2,41,97,3,Favorable,No,1,3,Kolkata,10,2,Fixed price,Medium,185
3635,Residential,32504,6576671,30,4,13,32,2,Moderate,No,1,4,Pune,8,6,Fixed price,Medium,828
3636,Commercial,16121,7089777,82,3,50,58,2,Moderate,No,2,8,Delhi,7,5,Fixed price,Medium,906
3637,Educational,7859,32778360,77,2,42,34,1,Moderate,Yes,4,2,Pune,8,1,Fixed price,Medium,682
3638,Educational,17147,12203905,76,9,19,92,2,Moderate,No,5,3,Banglore,2,2,Time and materials,Low,358
3639,Infrastructure,13856,80978618,32,7,21,64,0,Adverse,Yes,5,0,Kolkata,10,19,Time and materials,High,821
3640,Infrastructure,48966,74227564,94,7,32,80,5,Favorable,Yes,5,4,Kolkata,7,7,Fixed price,High,349
3641,Industrial,48787,39455710,28,7,21,30,4,Adverse,No,3,1,Hyderabad,10,19,Time and materials,Low,146
3642,Infrastructure,45708,80286066,39,5,38,24,1,Adverse,Yes,1,8,Banglore,7,17,Time and materials,Medium,967
3643,Industrial,9253,23843078,51,5,15,61,0,Adverse,No,2,6,Hyderabad,6,8,Time and materials,Low,603
3644,Commercial,10430,52055276,37,4,37,47,5,Favorable,Yes,4,9,Kolkata,6,1,Fixed price,High,390
3645,Infrastructure,10084,40220140,66,7,26,78,3,Favorable,Yes,5,9,Hyderabad,8,2,Time and materials,Low,620
3646,Residential,34043,75932135,51,1,13,53,3,Moderate,Yes,4,9,Pune,1,11,Fixed price,Low,881
3647,Infrastructure,21560,17505779,5,7,45,63,4,Favorable,Yes,4,4,Mumbai,3,20,Fixed price,Low,143
3648,Educational,34476,17712615,50,6,24,64,5,Favorable,No,2,1,Pune,3,7,Fixed price,Medium,454
3649,Residential,7057,31940226,38,1,33,63,2,Favorable,Yes,5,8,Banglore,3,18,Time and materials,High,202
3650,Educational,3455,77252084,58,1,15,34,0,Moderate,No,1,1,Banglore,8,7,Fixed price,Low,615
3651,Residential,40150,47607140,45,8,22,56,5,Adverse,No,1,2,Delhi,6,6,Fixed price,High,770
3652,Commercial,16659,37207738,55,3,17,77,4,Moderate,Yes,5,5,Mumbai,4,13,Fixed price,High,207
3653,Industrial,43336,46951523,38,2,27,2,4,Favorable,Yes,1,4,Hyderabad,10,4,Fixed price,Medium,277
3654,Residential,18863,67741280,76,1,32,96,4,Adverse,No,2,3,Kolkata,4,5,Fixed price,Low,829
3655,Commercial,46573,38165890,25,6,43,72,0,Moderate,Yes,5,2,Mumbai,1,2,Fixed price,Medium,206
3656,Residential,15345,73716201,31,5,40,76,4,Moderate,Yes,2,4,Banglore,6,5,Fixed price,Medium,334
3657,Infrastructure,6939,72121522,38,9,11,97,2,Adverse,No,2,3,Hyderabad,4,4,Fixed price,Medium,788
3658,Infrastructure,23698,4838568,38,8,46,16,2,Adverse,No,3,10,Mumbai,10,5,Time and materials,High,864
3659,Commercial,23411,6644399,46,9,46,92,4,Moderate,Yes,5,3,Mumbai,10,14,Time and materials,Low,880
3660,Commercial,29550,73767080,79,1,50,30,2,Adverse,No,4,3,Delhi,7,18,Time and materials,High,137
3661,Industrial,2516,53192459,80,6,46,13,1,Adverse,No,2,9,Pune,1,15,Time and materials,Low,316
3662,Infrastructure,27941,76840155,18,8,45,98,4,Favorable,No,1,1,Chennai,6,14,Time and materials,High,861
3663,Industrial,47433,77012961,96,9,25,14,0,Adverse,No,1,10,Chennai,3,6,Fixed price,Low,535
3664,Residential,48211,15133639,35,3,22,95,4,Moderate,Yes,4,8,Mumbai,4,17,Time and materials,High,611
3665,Commercial,24224,8050834,81,4,7,14,5,Favorable,Yes,1,6,Pune,6,10,Fixed price,High,309
3666,Industrial,20499,50924899,21,10,8,2,3,Adverse,No,3,1,Hyderabad,4,19,Fixed price,Low,509
3667,Commercial,1104,15851008,99,6,8,50,4,Moderate,No,5,1,Pune,1,17,Fixed price,Low,879
3668,Residential,42896,79889160,82,4,22,45,1,Adverse,Yes,3,4,Banglore,3,20,Time and materials,Medium,431
3669,Commercial,28303,27141747,69,4,26,90,3,Adverse,Yes,2,7,Mumbai,6,6,Fixed price,Low,586
3670,Commercial,26286,53843511,51,3,9,60,1,Favorable,Yes,1,6,Banglore,5,17,Fixed price,Low,735
3671,Infrastructure,40006,30481750,13,4,49,38,0,Moderate,No,3,9,Banglore,6,5,Fixed price,High,979
3672,Commercial,1956,65057226,34,2,32,22,0,Favorable,Yes,5,6,Delhi,4,5,Fixed price,High,746
3673,Residential,23424,33757013,28,5,41,35,5,Adverse,No,4,9,Hyderabad,5,16,Time and materials,High,348
3674,Commercial,39564,77442569,55,7,30,56,5,Adverse,Yes,2,2,Banglore,3,20,Time and materials,Low,815
3675,Industrial,13518,71360080,26,5,47,17,5,Adverse,Yes,3,6,Delhi,2,12,Fixed price,Low,784
3676,Industrial,47457,48570355,44,8,35,42,3,Favorable,No,1,9,Delhi,2,13,Fixed price,Low,151
3677,Educational,23593,76555548,32,3,21,58,3,Moderate,No,2,8,Hyderabad,6,18,Time and materials,Low,935
3678,Residential,30278,6866922,34,3,29,47,2,Adverse,Yes,2,3,Kolkata,4,8,Time and materials,Medium,683
3679,Educational,580,19699801,86,3,22,19,1,Moderate,No,5,0,Hyderabad,4,7,Time and materials,Medium,389
3680,Commercial,37836,34191269,85,7,31,38,3,Favorable,Yes,4,4,Kolkata,2,10,Fixed price,High,454
3681,Educational,49293,79695355,61,4,17,86,0,Moderate,No,1,6,Pune,3,7,Time and materials,Low,462
3682,Residential,3272,45817577,15,7,41,29,1,Favorable,Yes,3,6,Delhi,6,20,Fixed price,Low,830
3683,Educational,15164,49000461,82,6,16,25,3,Favorable,Yes,1,4,Chennai,4,6,Time and materials,High,896
3684,Residential,20154,81126773,91,10,37,73,5,Favorable,Yes,2,5,Mumbai,10,10,Time and materials,Low,536
3685,Industrial,6058,77833167,72,4,14,44,5,Favorable,No,5,0,Delhi,5,9,Fixed price,High,921
3686,Infrastructure,34194,43684726,73,2,50,68,1,Adverse,No,5,0,Delhi,9,16,Fixed price,High,111
3687,Residential,2695,7897450,90,6,50,33,2,Adverse,No,3,6,Banglore,7,20,Time and materials,High,289
3688,Commercial,10059,49415212,6,4,18,78,3,Favorable,No,5,1,Chennai,7,4,Time and materials,Medium,742
3689,Educational,36860,17998301,43,7,14,82,0,Moderate,No,4,4,Mumbai,7,2,Fixed price,Medium,996
3690,Commercial,25506,70253607,23,7,49,17,3,Moderate,Yes,1,6,Kolkata,4,11,Time and materials,High,848
3691,Industrial,21554,48455815,95,4,35,97,0,Favorable,Yes,4,0,Pune,6,9,Fixed price,Medium,877
3692,Industrial,36019,73380715,41,4,47,53,5,Adverse,No,2,5,Chennai,9,7,Fixed price,High,237
3693,Residential,26589,18592747,7,9,49,14,4,Adverse,No,2,8,Banglore,10,14,Time and materials,High,570
3694,Educational,49470,75382509,47,8,27,70,5,Favorable,No,3,5,Hyderabad,8,19,Fixed price,High,840
3695,Industrial,23137,38159582,57,10,29,55,0,Favorable,No,2,10,Banglore,5,5,Fixed price,Medium,234
3696,Educational,22312,26363124,52,4,13,24,2,Favorable,Yes,2,7,Kolkata,1,14,Time and materials,High,938
3697,Residential,42308,42348343,95,7,32,44,3,Adverse,No,5,7,Banglore,2,4,Time and materials,Medium,329
3698,Educational,24621,9444570,8,7,7,61,4,Adverse,No,5,5,Kolkata,4,2,Fixed price,High,185
3699,Infrastructure,41060,30647335,77,8,44,85,5,Favorable,No,4,5,Chennai,10,17,Fixed price,Medium,761
3700,Educational,21418,64619567,81,5,50,67,5,Favorable,Yes,2,6,Kolkata,3,11,Time and materials,High,735
3701,Infrastructure,46590,36683261,59,2,42,32,2,Adverse,No,2,5,Pune,3,4,Fixed price,High,839
3702,Educational,43772,67601093,85,3,34,83,3,Adverse,Yes,1,6,Banglore,9,4,Time and materials,Low,267
3703,Industrial,40608,27350409,69,4,48,8,0,Adverse,No,2,0,Hyderabad,7,14,Fixed price,Low,774
3704,Commercial,1190,62707745,16,6,45,81,2,Adverse,Yes,5,5,Hyderabad,3,2,Fixed price,Low,825
3705,Residential,36287,15934174,27,7,31,20,4,Adverse,No,3,9,Chennai,7,9,Time and materials,High,809
3706,Infrastructure,46566,73816548,32,9,20,12,3,Adverse,No,1,9,Banglore,3,9,Fixed price,High,626
3707,Industrial,23830,51579686,87,2,19,55,0,Favorable,No,3,1,Pune,2,17,Fixed price,Low,304
